unit_id,variant,transport_index,transport_name,from_station,to_station,start_time_s,finish_time_s,transport_time_s
U001,FUSE0,1,Transportation 1,Station 1: Bottom cover,Station 2: Drill station,6.6,16.9,10.3
U002,FUSE1,1,Transportation 1,Station 1: Bottom cover,Station 2: Drill station,13.2,23.5,10.3
U003,FUSE2,1,Transportation 1,Station 1: Bottom cover,Station 2: Drill station,19.8,30.1,10.3
U004,FUSE0,1,Transportation 1,Station 1: Bottom cover,Station 2: Drill station,26.4,36.7,10.3
U001,FUSE0,2,Transportation 2,Station 2: Drill station,Station 3: Robot cell,27.3,55.3,28.0
U005,FUSE1,1,Transportation 1,Station 1: Bottom cover,Station 2: Drill station,33.0,43.3,10.3
U002,FUSE1,2,Transportation 2,Station 2: Drill station,Station 3: Robot cell,37.7,65.7,28.0
U006,FUSE2,1,Transportation 1,Station 1: Bottom cover,Station 2: Drill station,39.6,49.9,10.3
U007,FUSE0,1,Transportation 1,Station 1: Bottom cover,Station 2: Drill station,46.2,56.5,10.3
U003,FUSE2,2,Transportation 2,Station 2: Drill station,Station 3: Robot cell,48.1,76.1,28.0
U008,FUSE1,1,Transportation 1,Station 1: Bottom cover,Station 2: Drill station,52.8,63.1,10.3
U004,FUSE0,2,Transportation 2,Station 2: Drill station,Station 3: Robot cell,58.5,86.5,28.0
U009,FUSE2,1,Transportation 1,Station 1: Bottom cover,Station 2: Drill station,59.4,69.7,10.3
U005,FUSE1,2,Transportation 2,Station 2: Drill station,Station 3: Robot cell,68.9,96.9,28.0
U006,FUSE2,2,Transportation 2,Station 2: Drill station,Station 3: Robot cell,79.3,107.3,28.0
U007,FUSE0,2,Transportation 2,Station 2: Drill station,Station 3: Robot cell,89.7,117.7,28.0
U008,FUSE1,2,Transportation 2,Station 2: Drill station,Station 3: Robot cell,100.1,128.1,28.0
U009,FUSE2,2,Transportation 2,Station 2: Drill station,Station 3: Robot cell,110.5,138.5,28.0
U001,FUSE0,3,Transportation 3,Station 3: Robot cell,Station 4: Inspection,116.2,129.7,13.5
U001,FUSE0,4,Transportation 4,Station 4: Inspection,Station 5: Top cover,131.8,142.2,10.4
U001,FUSE0,5,Transportation 5,Station 5: Top cover,Station 6: Packaging,146.8,181.6,34.8
U002,FUSE1,3,Transportation 3,Station 3: Robot cell,Station 4: Inspection,192.6,206.1,13.5
U002,FUSE1,4,Transportation 4,Station 4: Inspection,Station 5: Top cover,208.2,218.6,10.4
U002,FUSE1,5,Transportation 5,Station 5: Top cover,Station 6: Packaging,223.2,258.0,34.8
U003,FUSE2,3,Transportation 3,Station 3: Robot cell,Station 4: Inspection,277.1,290.6,13.5
U003,FUSE2,4,Transportation 4,Station 4: Inspection,Station 5: Top cover,292.7,303.1,10.4
U003,FUSE2,5,Transportation 5,Station 5: Top cover,Station 6: Packaging,307.7,342.5,34.8
U004,FUSE0,3,Transportation 3,Station 3: Robot cell,Station 4: Inspection,338.0,351.5,13.5
U004,FUSE0,4,Transportation 4,Station 4: Inspection,Station 5: Top cover,353.6,364.0,10.4
U004,FUSE0,5,Transportation 5,Station 5: Top cover,Station 6: Packaging,368.6,403.4,34.8
U005,FUSE1,3,Transportation 3,Station 3: Robot cell,Station 4: Inspection,414.4,427.9,13.5
U005,FUSE1,4,Transportation 4,Station 4: Inspection,Station 5: Top cover,430.0,440.4,10.4
U005,FUSE1,5,Transportation 5,Station 5: Top cover,Station 6: Packaging,445.0,479.8,34.8
U006,FUSE2,3,Transportation 3,Station 3: Robot cell,Station 4: Inspection,498.9,512.4,13.5
U006,FUSE2,4,Transportation 4,Station 4: Inspection,Station 5: Top cover,514.5,524.9,10.4
U006,FUSE2,5,Transportation 5,Station 5: Top cover,Station 6: Packaging,529.5,564.3,34.8
U007,FUSE0,3,Transportation 3,Station 3: Robot cell,Station 4: Inspection,559.8,573.3,13.5
U007,FUSE0,4,Transportation 4,Station 4: Inspection,Station 5: Top cover,575.4,585.8,10.4
U007,FUSE0,5,Transportation 5,Station 5: Top cover,Station 6: Packaging,590.4,625.2,34.8
U008,FUSE1,3,Transportation 3,Station 3: Robot cell,Station 4: Inspection,636.2,649.7,13.5
U008,FUSE1,4,Transportation 4,Station 4: Inspection,Station 5: Top cover,651.8,662.2,10.4
U008,FUSE1,5,Transportation 5,Station 5: Top cover,Station 6: Packaging,666.8,701.6,34.8
U009,FUSE2,3,Transportation 3,Station 3: Robot cell,Station 4: Inspection,720.7,734.2,13.5
U009,FUSE2,4,Transportation 4,Station 4: Inspection,Station 5: Top cover,736.3,746.7,10.4
U009,FUSE2,5,Transportation 5,Station 5: Top cover,Station 6: Packaging,751.3,786.1,34.8
