unit_id,orderID,variant,first_arrival_time_s,start_time_s,completion_time_s,flow_time_s,active_flow_time_s,time_spent_producing,throughput_efficiency,Attempts,route_taken
U3408,138,FUSE0,0.0,0.0,1208.0,1208.0,1208.0,941.0,0.778974,1,p:1.1.1.1.3.2
U3409,138,FUSE0,0.0,0.0,1365.6,1365.6,1365.6,941.0,0.689074,1,p:2.2.2.1.2.2
U3410,138,FUSE0,0.0,112.2,1670.0,1670.0,1670.0,941.0,0.563473,1,p:1.3.3.1.1.2
U3411,138,FUSE0,0.0,112.2,1564.8,1564.8,1564.8,941.0,0.601355,1,p:2.1.4.2.2.1
U3412,138,FUSE0,0.0,224.4,1481.6,1481.6,1481.6,941.0,0.635124,1,p:1.2.1.1.3.2
U3413,138,FUSE0,0.0,224.4,1680.8,1680.8,1680.8,941.0,0.559852,1,p:2.3.2.2.3.1
U3414,138,FUSE0,0.0,336.6,1786.0,1786.0,1786.0,941.0,0.526876,1,p:1.1.5.1.2.2
U3415,138,FUSE0,0.0,336.6,1864.8,1864.8,1864.8,941.0,0.504612,1,p:2.2.3.2.1.1
U3416,138,FUSE1,0.0,448.8,1902.0,1902.0,1902.0,1003.0,0.52734,1,p:1.3.1.1.3.2
U3417,138,FUSE1,0.0,448.8,1980.8,1980.8,1980.8,1003.0,0.506361,1,p:2.1.4.2.2.1
U3418,138,FUSE1,0.0,561.0,2036.8,2036.8,2036.8,1003.0,0.492439,1,p:1.2.2.1.1.2
U3419,138,FUSE1,0.0,561.0,2096.8,2096.8,2096.8,1003.0,0.478348,1,p:2.3.3.1.3.1
U3420,138,FUSE1,0.0,673.2,2177.2,2177.2,2177.2,1003.0,0.460683,1,p:1.1.5.2.2.2
U3421,138,FUSE1,0.0,673.2,2292.0,2292.0,2292.0,1003.0,0.437609,1,p:2.2.1.1.1.1
U3422,138,FUSE1,0.0,785.4,2293.2,2293.2,2293.2,1003.0,0.43738,1,p:1.3.2.2.3.2
U3423,138,FUSE1,0.0,785.4,2408.0,2408.0,2408.0,1003.0,0.416528,1,p:2.1.4.1.2.1
U3424,138,FUSE2,0.0,897.6,2429.6,2429.6,2429.6,1035.4,0.426161,1,p:1.2.3.1.3.2
U3425,138,FUSE2,0.0,897.6,2604.8,2604.8,2604.8,1035.4,0.397497,1,p:2.3.5.1.2.1
U3426,138,FUSE2,0.0,1009.8,2545.6,2545.6,2545.6,1035.4,0.406741,1,p:1.1.1.2.1.2
U3427,138,FUSE2,0.0,1009.8,2661.6,2661.6,2661.6,1035.4,0.389014,1,p:2.2.2.2.3.2
U3428,138,FUSE2,0.0,1122.0,2775.4,2775.4,2775.4,1035.4,0.373063,1,p:1.3.4.1.1.1
U3429,138,FUSE2,0.0,1122.0,2788.6,2788.6,2788.6,1035.4,0.371297,1,p:2.1.3.2.2.2
U3430,138,FUSE2,0.0,1234.2,2896.6,2896.6,2896.6,1035.4,0.357454,1,p:1.2.5.1.3.1
U3431,138,FUSE2,0.0,1234.2,2946.2,2946.2,2946.2,1035.4,0.351436,1,p:2.3.1.2.1.2
U3432,138,FUSE2,0.0,1346.4,3062.2,3062.2,3062.2,1035.4,0.338123,1,p:1.1.2.2.3.2
U6676,268,FUSE0,0.0,1346.4,3054.2,3054.2,3054.2,941.0,0.3081,1,p:2.2.4.1.2.1
U6677,268,FUSE0,0.0,1458.6,3191.8,3191.8,3191.8,941.0,0.294818,1,p:1.3.3.1.1.2
U6678,268,FUSE0,0.0,1458.6,3229.0,3229.0,3229.0,941.0,0.291421,1,p:2.1.5.2.2.1
U6679,268,FUSE0,0.0,1570.8,3307.8,3307.8,3307.8,941.0,0.284479,1,p:1.2.1.1.3.2
U6680,268,FUSE0,0.0,1570.8,3386.6,3386.6,3386.6,941.0,0.27786,1,p:2.3.4.2.1.1
U6681,268,FUSE0,0.0,1683.0,3423.8,3423.8,3423.8,941.0,0.274841,1,p:1.1.2.1.2.2
U6682,268,FUSE0,0.0,1683.0,3502.6,3502.6,3502.6,941.0,0.268658,1,p:2.2.3.2.3.1
U6683,268,FUSE0,0.0,1795.2,3544.6,3544.6,3544.6,941.0,0.265474,1,p:1.3.5.1.1.2
U6684,268,FUSE1,0.0,1795.2,3618.6,3618.6,3618.6,1003.0,0.277179,1,p:2.1.1.2.2.1
U6685,268,FUSE1,0.0,1907.4,3660.6,3660.6,3660.6,1003.0,0.273999,1,p:1.2.4.1.3.2
U6686,268,FUSE1,0.0,1907.4,3739.4,3739.4,3739.4,1003.0,0.268225,1,p:2.3.2.2.1.1
U6687,268,FUSE1,0.0,2019.6,3776.6,3776.6,3776.6,1003.0,0.265583,1,p:1.1.3.1.2.2
U6688,268,FUSE1,0.0,2019.6,3855.4,3855.4,3855.4,1003.0,0.260155,1,p:2.2.5.2.3.1
U6689,268,FUSE1,0.0,2131.8,3897.4,3897.4,3897.4,1003.0,0.257351,1,p:1.3.1.1.1.2
U6690,268,FUSE1,0.0,2131.8,3971.4,3971.4,3971.4,1003.0,0.252556,1,p:2.1.4.2.2.1
U6691,268,FUSE1,0.0,2244.0,4013.4,4013.4,4013.4,1003.0,0.249913,1,p:1.2.2.1.3.2
U6692,268,FUSE2,0.0,2244.0,4092.2,4092.2,4092.2,1035.4,0.253018,1,p:2.3.3.2.1.1
U6693,268,FUSE2,0.0,2356.2,4129.4,4129.4,4129.4,1035.4,0.250739,1,p:1.1.5.1.2.2
U6694,268,FUSE2,0.0,2356.2,4208.2,4208.2,4208.2,1035.4,0.246043,1,p:2.2.1.2.3.1
U6695,268,FUSE2,0.0,2468.4,4250.2,4250.2,4250.2,1035.4,0.243612,1,p:1.3.4.1.1.2
U6696,268,FUSE2,0.0,2468.4,4324.2,4324.2,4324.2,1035.4,0.239443,1,p:2.1.2.2.2.1
U6697,268,FUSE2,0.0,2580.6,4366.2,4366.2,4366.2,1035.4,0.23714,1,p:1.2.3.1.3.2
U6698,268,FUSE2,0.0,2580.6,4482.2,4482.2,4482.2,1035.4,0.231003,1,p:2.3.5.1.2.2
U082,4,FUSE0,0.0,2692.8,4445.0,4445.0,4445.0,941.0,0.211699,1,p:1.1.1.2.1.1
U083,4,FUSE0,0.0,2692.8,4561.0,4561.0,4561.0,941.0,0.206314,1,p:2.2.4.2.3.1
U084,4,FUSE0,0.0,2805.0,4603.0,4603.0,4603.0,941.0,0.204432,1,p:1.3.2.1.1.2
U085,4,FUSE0,0.0,2805.0,4677.0,4677.0,4677.0,941.0,0.201197,1,p:2.1.3.2.2.1
U086,4,FUSE0,0.0,2917.2,4719.0,4719.0,4719.0,941.0,0.199407,1,p:1.2.1.1.3.2
U087,4,FUSE0,0.0,2917.2,4797.8,4797.8,4797.8,941.0,0.196132,1,p:2.3.5.2.1.1
U088,4,FUSE0,0.0,3029.4,4835.0,4835.0,4835.0,941.0,0.194623,1,p:1.1.4.1.2.2
U089,4,FUSE0,0.0,3029.4,4913.8,4913.8,4913.8,941.0,0.191501,1,p:2.2.2.2.3.1
U090,4,FUSE1,0.0,3141.6,4955.8,4955.8,4955.8,1003.0,0.202389,1,p:1.3.3.1.1.2
U091,4,FUSE1,0.0,3141.6,5029.8,5029.8,5029.8,1003.0,0.199412,1,p:2.1.1.2.2.1
U092,4,FUSE1,0.0,3253.8,5071.8,5071.8,5071.8,1003.0,0.19776,1,p:1.2.5.1.3.2
U093,4,FUSE1,0.0,3253.8,5187.8,5187.8,5187.8,1003.0,0.193338,1,p:2.3.2.1.2.2
U094,4,FUSE1,0.0,3366.0,5150.6,5150.6,5150.6,1003.0,0.194735,1,p:1.1.4.2.1.1
U095,4,FUSE1,0.0,3366.0,5266.6,5266.6,5266.6,1003.0,0.190445,1,p:2.2.3.2.3.1
U096,4,FUSE1,0.0,3478.2,5308.6,5308.6,5308.6,1003.0,0.188939,1,p:1.3.1.1.1.2
U097,4,FUSE1,0.0,3478.2,5382.6,5382.6,5382.6,1003.0,0.186341,1,p:2.1.5.2.2.1
U098,4,FUSE2,0.0,3590.4,5424.6,5424.6,5424.6,1035.4,0.190871,1,p:1.2.4.1.3.2
U099,4,FUSE2,0.0,3590.4,5503.4,5503.4,5503.4,1035.4,0.188138,1,p:2.3.2.2.1.1
U100,4,FUSE2,0.0,3702.6,5540.6,5540.6,5540.6,1035.4,0.186875,1,p:1.1.3.1.2.2
U101,4,FUSE2,0.0,3702.6,5619.4,5619.4,5619.4,1035.4,0.184255,1,p:2.2.1.2.3.1
U102,4,FUSE2,0.0,3814.8,5661.4,5661.4,5661.4,1035.4,0.182888,1,p:1.3.5.1.1.2
U103,4,FUSE2,0.0,3814.8,5735.4,5735.4,5735.4,1035.4,0.180528,1,p:2.1.4.2.2.1
U104,4,FUSE2,0.0,3927.0,5777.4,5777.4,5777.4,1035.4,0.179216,1,p:1.2.2.1.3.2
U105,4,FUSE2,0.0,3927.0,5893.4,5893.4,5893.4,1035.4,0.175688,1,p:2.3.3.1.2.2
U106,4,FUSE2,1239.3,4039.2,5864.6,4625.3,4625.3,1035.4,0.223856,1,p:1.1.1.2.1.1
U300,13,FUSE0,1396.9,4039.2,5980.6,4583.7,4583.7,941.0,0.205293,1,p:2.2.5.2.3.1
U301,13,FUSE0,1512.9,4151.4,6019.4,4506.5,4506.5,941.0,0.208809,1,p:1.3.4.1.1.2
U302,13,FUSE0,1596.1,4151.4,6096.6,4500.5,4500.5,941.0,0.209088,1,p:2.1.2.2.2.1
U303,13,FUSE0,1701.3,4263.6,6251.4,4550.1,4550.1,941.0,0.206809,1,p:1.2.5.1.2.2
U304,13,FUSE0,1712.1,4263.6,6217.4,4505.3,4505.3,941.0,0.208865,1,p:2.3.3.2.1.1
U305,13,FUSE0,1817.3,4375.8,6135.4,4318.1,4318.1,941.0,0.21792,1,p:1.1.1.1.3.2
U306,13,FUSE0,1896.1,4375.8,6333.4,4437.3,4437.3,941.0,0.212066,1,p:2.2.4.2.3.1
U307,13,FUSE0,1933.3,4488.0,6372.2,4438.9,4438.9,941.0,0.211989,1,p:1.3.2.1.1.2
U308,13,FUSE0,2012.1,4488.0,6449.4,4437.3,4437.3,941.0,0.212066,1,p:2.1.5.2.2.1
U309,13,FUSE1,2068.1,4600.2,6488.2,4420.1,4420.1,1003.0,0.226918,1,p:1.2.3.1.3.2
U310,13,FUSE1,2128.1,4600.2,6570.2,4442.1,4442.1,1003.0,0.225794,1,p:2.3.1.2.1.1
