unit_id,order_id,variant,station_index,station_name,arrival_time_s,start_time_s,finish_time_s,process_time_s,base_process_time_s,wait_time_s,queue_length_on_arrival
U1032,42,FUSE0,1,Station 1: Bottom cover,0.0,0.0,6.6,6.6,6.6,0.0,0
U1033,42,FUSE0,2,Station 1.1: Bottom cover,0.0,0.0,6.6,6.6,6.6,0.0,0
U1034,42,FUSE0,1,Station 1: Bottom cover,0.0,6.6,13.2,6.6,6.6,6.6,0
U1035,42,FUSE0,2,Station 1.1: Bottom cover,0.0,6.6,13.2,6.6,6.6,6.6,0
U1036,42,FUSE0,1,Station 1: Bottom cover,0.0,13.2,19.8,6.6,6.6,13.2,1
U1037,42,FUSE0,2,Station 1.1: Bottom cover,0.0,13.2,19.8,6.6,6.6,13.2,1
U1038,42,FUSE0,1,Station 1: Bottom cover,0.0,19.8,26.4,6.6,6.6,19.8,2
U1039,42,FUSE0,2,Station 1.1: Bottom cover,0.0,19.8,26.4,6.6,6.6,19.8,2
U1040,42,FUSE1,1,Station 1: Bottom cover,0.0,26.4,33.0,6.6,6.6,26.4,3
U1041,42,FUSE1,2,Station 1.1: Bottom cover,0.0,26.4,33.0,6.6,6.6,26.4,3
U1042,42,FUSE1,1,Station 1: Bottom cover,0.0,33.0,39.6,6.6,6.6,33.0,4
U1043,42,FUSE1,2,Station 1.1: Bottom cover,0.0,33.0,39.6,6.6,6.6,33.0,4
U1044,42,FUSE1,1,Station 1: Bottom cover,0.0,39.6,46.2,6.6,6.6,39.6,5
U1045,42,FUSE1,2,Station 1.1: Bottom cover,0.0,39.6,46.2,6.6,6.6,39.6,5
U1032,42,FUSE0,3,Station 2: Drill station,45.6,45.6,56.0,10.4,10.4,0.0,0
U1046,42,FUSE1,1,Station 1: Bottom cover,0.0,46.2,52.8,6.6,6.6,46.2,6
U1047,42,FUSE1,2,Station 1.1: Bottom cover,0.0,46.2,52.8,6.6,6.6,46.2,6
U1033,42,FUSE0,3,Station 2: Drill station,65.6,65.6,76.0,10.4,10.4,0.0,0
U1034,42,FUSE0,4,Station 2.1: Drill station,72.2,72.2,82.6,10.4,10.4,0.0,0
U1035,42,FUSE0,3,Station 2: Drill station,72.2,76.0,86.4,10.4,10.4,3.8,0
U1036,42,FUSE0,4,Station 2.1: Drill station,78.8,82.6,93.0,10.4,10.4,3.8,0
U1037,42,FUSE0,3,Station 2: Drill station,78.8,86.4,96.8,10.4,10.4,7.6,0
U1038,42,FUSE0,4,Station 2.1: Drill station,85.4,93.0,103.4,10.4,10.4,7.6,0
U1032,42,FUSE0,5,Station 3: Robot cell,95.0,95.0,338.6,243.6,243.6,0.0,0
U1039,42,FUSE0,3,Station 2: Drill station,85.4,96.8,107.2,10.4,10.4,11.4,1
U1040,42,FUSE1,4,Station 2.1: Drill station,92.0,103.4,113.8,10.4,10.4,11.4,1
U1041,42,FUSE1,3,Station 2: Drill station,92.0,107.2,117.6,10.4,10.4,15.2,1
U1042,42,FUSE1,4,Station 2.1: Drill station,98.6,113.8,124.2,10.4,10.4,15.2,1
U1043,42,FUSE1,3,Station 2: Drill station,98.6,117.6,128.0,10.4,10.4,19.0,1
U1044,42,FUSE1,4,Station 2.1: Drill station,105.2,124.2,134.6,10.4,10.4,19.0,1
U1045,42,FUSE1,3,Station 2: Drill station,105.2,128.0,138.4,10.4,10.4,22.8,2
U1046,42,FUSE1,4,Station 2.1: Drill station,111.8,134.6,145.0,10.4,10.4,22.8,2
U1033,42,FUSE0,6,Station 3.1: Robot cell,135.0,135.0,378.6,243.6,243.6,0.0,0
U1047,42,FUSE1,3,Station 2: Drill station,111.8,138.4,148.8,10.4,10.4,26.6,2
U1034,42,FUSE0,7,Station 3.2: Robot cell,181.6,181.6,425.2,243.6,243.6,0.0,0
U1035,42,FUSE0,8,Station 3.3: Robot cell,185.4,185.4,429.0,243.6,243.6,0.0,0
U1036,42,FUSE0,9,Station 3.4: Robot cell,232.0,232.0,475.6,243.6,243.6,0.0,0
U1037,42,FUSE0,5,Station 3: Robot cell,135.8,338.6,582.2,243.6,243.6,202.8,0
U1032,42,FUSE0,10,Station 4: Inspection,377.6,377.6,379.7,2.1,2.1,0.0,0
U1038,42,FUSE0,6,Station 3.1: Robot cell,182.4,378.6,622.2,243.6,243.6,196.2,0
U1039,42,FUSE0,7,Station 3.2: Robot cell,186.2,425.2,668.8,243.6,243.6,239.0,0
U1040,42,FUSE1,8,Station 3.3: Robot cell,232.8,429.0,734.6,305.6,305.6,196.2,0
U1033,42,FUSE0,10,Station 4: Inspection,437.6,437.6,439.7,2.1,2.1,0.0,0
U1041,42,FUSE1,9,Station 3.4: Robot cell,236.6,475.6,781.2,305.6,305.6,239.0,0
U1034,42,FUSE0,10,Station 4: Inspection,504.2,504.2,506.3,2.1,2.1,0.0,0
U1032,42,FUSE0,13,Station 5.1: Top cover,510.7,510.7,515.3,4.6,4.6,0.0,0
U1035,42,FUSE0,10,Station 4: Inspection,528.0,528.0,530.1,2.1,2.1,0.0,0
U1032,42,FUSE0,15,Station 6.1: Packaging,554.3,554.3,558.3,4.0,4.0,0.0,0
U1033,42,FUSE0,13,Station 5.1: Top cover,570.7,570.7,575.3,4.6,4.6,0.0,0
U1042,42,FUSE1,5,Station 3: Robot cell,183.2,582.2,887.8,305.6,305.6,399.0,1
U1048,42,FUSE2,1,Station 1: Bottom cover,589.6,589.6,596.2,6.6,6.6,0.0,0
U1036,42,FUSE0,10,Station 4: Inspection,594.6,594.6,596.7,2.1,2.1,0.0,0
U1033,42,FUSE0,15,Station 6.1: Packaging,614.3,614.3,618.3,4.0,4.0,0.0,0
U1037,42,FUSE0,10,Station 4: Inspection,621.2,621.2,623.3,2.1,2.1,0.0,0
U1043,42,FUSE1,6,Station 3.1: Robot cell,187.0,622.2,927.8,305.6,305.6,435.2,1
U1048,42,FUSE2,3,Station 2: Drill station,635.2,635.2,645.6,10.4,10.4,0.0,0
U1034,42,FUSE0,13,Station 5.1: Top cover,637.3,637.3,641.9,4.6,4.6,0.0,0
U1049,42,FUSE2,2,Station 1.1: Bottom cover,649.6,649.6,656.2,6.6,6.6,0.0,0
U1035,42,FUSE0,13,Station 5.1: Top cover,661.1,661.1,665.7,4.6,4.6,0.0,0
U1044,42,FUSE1,7,Station 3.2: Robot cell,233.6,668.8,974.4,305.6,305.6,435.2,1
U1034,42,FUSE0,15,Station 6.1: Packaging,680.9,680.9,684.9,4.0,4.0,0.0,0
U1038,42,FUSE0,10,Station 4: Inspection,681.2,681.2,683.3,2.1,2.1,0.0,0
U1035,42,FUSE0,15,Station 6.1: Packaging,704.7,704.7,708.7,4.0,4.0,0.0,0
U1049,42,FUSE2,3,Station 2: Drill station,715.2,715.2,725.6,10.4,10.4,0.0,0
U1050,42,FUSE2,1,Station 1: Bottom cover,716.2,716.2,722.8,6.6,6.6,0.0,0
U1036,42,FUSE0,13,Station 5.1: Top cover,727.7,727.7,732.3,4.6,4.6,0.0,0
U1045,42,FUSE1,8,Station 3.3: Robot cell,237.4,734.6,1040.2,305.6,305.6,497.2,1
U1051,42,FUSE2,2,Station 1.1: Bottom cover,740.0,740.0,746.6,6.6,6.6,0.0,0
U1039,42,FUSE0,10,Station 4: Inspection,747.8,747.8,749.9,2.1,2.1,0.0,0
U1037,42,FUSE0,13,Station 5.1: Top cover,754.3,754.3,758.9,4.6,4.6,0.0,0
U1050,42,FUSE2,3,Station 2: Drill station,761.8,761.8,772.2,10.4,10.4,0.0,0
U1036,42,FUSE0,15,Station 6.1: Packaging,771.3,771.3,775.3,4.0,4.0,0.0,0
U1046,42,FUSE1,9,Station 3.4: Robot cell,284.0,781.2,1086.8,305.6,305.6,497.2,1
U1037,42,FUSE0,15,Station 6.1: Packaging,797.9,797.9,801.9,4.0,4.0,0.0,0
U1051,42,FUSE2,3,Station 2: Drill station,805.6,805.6,816.0,10.4,10.4,0.0,0
U1052,42,FUSE2,1,Station 1: Bottom cover,806.6,806.6,813.2,6.6,6.6,0.0,0
U1038,42,FUSE0,13,Station 5.1: Top cover,814.3,814.3,818.9,4.6,4.6,0.0,0
U1053,42,FUSE2,2,Station 1.1: Bottom cover,833.2,833.2,839.8,6.6,6.6,0.0,0
U1040,42,FUSE1,10,Station 4: Inspection,833.6,833.6,835.7,2.1,2.1,0.0,0
U1052,42,FUSE2,3,Station 2: Drill station,852.2,852.2,862.6,10.4,10.4,0.0,0
U1038,42,FUSE0,15,Station 6.1: Packaging,857.9,857.9,861.9,4.0,4.0,0.0,0
U1039,42,FUSE0,13,Station 5.1: Top cover,880.9,880.9,885.5,4.6,4.6,0.0,0
U1047,42,FUSE1,5,Station 3: Robot cell,187.8,887.8,1193.4,305.6,305.6,700.0,2
U1054,42,FUSE2,1,Station 1: Bottom cover,893.2,893.2,899.8,6.6,6.6,0.0,0
U1053,42,FUSE2,3,Station 2: Drill station,898.8,898.8,909.2,10.4,10.4,0.0,0
U1041,42,FUSE1,10,Station 4: Inspection,900.2,900.2,902.3,2.1,2.1,0.0,0
U1039,42,FUSE0,15,Station 6.1: Packaging,924.5,924.5,928.5,4.0,4.0,0.0,0
U1042,42,FUSE1,10,Station 4: Inspection,926.8,926.8,928.9,2.1,2.1,0.0,0
U1048,42,FUSE2,6,Station 3.1: Robot cell,704.6,927.8,1265.8,338.0,338.0,223.2,0
U1054,42,FUSE2,3,Station 2: Drill station,938.8,938.8,949.2,10.4,10.4,0.0,0
U6528,262,FUSE0,2,Station 1.1: Bottom cover,959.8,959.8,966.4,6.6,6.6,0.0,0
U1040,42,FUSE1,13,Station 5.1: Top cover,966.7,966.7,971.3,4.6,4.6,0.0,0
U1049,42,FUSE2,7,Station 3.2: Robot cell,804.6,974.4,1312.4,338.0,338.0,169.8,0
U1043,42,FUSE1,10,Station 4: Inspection,986.8,986.8,988.9,2.1,2.1,0.0,0
U1040,42,FUSE1,15,Station 6.1: Packaging,1010.3,1010.3,1014.3,4.0,4.0,0.0,0
U6528,262,FUSE0,3,Station 2: Drill station,1025.4,1025.4,1035.8,10.4,10.4,0.0,0
U1041,42,FUSE1,13,Station 5.1: Top cover,1033.3,1033.3,1037.9,4.6,4.6,0.0,0
U1050,42,FUSE2,8,Station 3.3: Robot cell,871.2,1040.2,1378.2,338.0,338.0,169.0,0
U6529,262,FUSE0,1,Station 1: Bottom cover,1045.6,1045.6,1052.2,6.6,6.6,0.0,0
U1044,42,FUSE1,10,Station 4: Inspection,1053.4,1053.4,1055.5,2.1,2.1,0.0,0
